"handle","title","status","queries","impr","clicks"
"makers-mark-bourbon","Maker's Mark Bourbon • 1L Bottle","ARCHIVED",6,7,0
"heinz-tomato-ketchup-20oz","Heinz Tomato Ketchup • 20oz Bottle","ARCHIVED",6,7,0
"calmezzi-original-non-alcoholic-spirit","Calmezzi Original Non-Alcoholic Spirit • 750ml Bottle","ARCHIVED",3,7,0
"vita-coco-coconut-juice-16oz-can","Vita Coco Coconut Juice • 16oz Can","ARCHIVED",4,7,0
"portable-cornhole-set","Cornhole Set - RENTAL","ARCHIVED",4,7,0
"last-disco-foil-balloon-pack","""Last Disco"" Foil Balloon Pack","ARCHIVED",5,7,0
"lime-juice-4oz-bottle","Pompeii Lime Juice • 4oz Bottle","ARCHIVED",4,7,0
"republic-tequila-anejo-texas-replica","Republic Texas Anejo Tequila • 750ml Bottle","ARCHIVED",5,7,0
"sipsmith-gin-750ml","Sipsmith Gin 750ml","ARCHIVED",3,7,0
"woodford-reserve-1-75l","Woodford Reserve • 1.75L Bottle","ARCHIVED",2,6,0
"ritual-zero-proof-non-alcoholic-gin-750ml-bottle","Ritual Zero Proof Non-Alcoholic Gin • 750ml Bottle","ARCHIVED",3,6,0
"andre-cocktails-strawberry-mimosa-750ml-bottle","Andre Cocktails Strawberry Mimosa • 750ml Bottle","ARCHIVED",6,6,0
"hans-pils-6-pack-12fl-oz-can","Hans Pils • 6 Pack 12fl oz Can","ARCHIVED",3,6,0
"dulce-vida-organic-tequila-100-proof-750ml","Dulce Vida Organic Tequila 100 • 750ml Bottle","ARCHIVED",6,6,0
"liquid-death-berry-it-alive","Liquid Death Berry It Alive • 500ml Can","ARCHIVED",3,6,0
"sol-12-pack","Sol • 12 Pack 12oz Can","ARCHIVED",6,6,0
"thirsty-planet-thirsty-goat-6-pack","Thirsty Planet Thirsty Goat 6 Pack 12oz Can","ARCHIVED",4,6,0
"casamigos-reposado-750ml","(NOT IN DB)","NOT_IN_DB",4,6,0
"copy-of-liquid-death-sparkling-water-500ml-can","Liquid Death Sparkling Water • 500ml Can","ARCHIVED",1,6,0
"deluxe-air-mattress-queen","Deluxe Air Mattress • Queen","ARCHIVED",4,5,0
"stirrings-triple-sec-750ml-bottle","Stirrings Triple Sec • 750ml Bottle","ARCHIVED",2,5,0
"cooling-towels-set-30-pack","Cooling Towels Set • 30 Pack","ARCHIVED",3,5,0
"cocktail-glass-rental","Cocktail Glass - Rental","ARCHIVED",4,5,0
"organic-pineapple-juice-32oz","(NOT IN DB)","NOT_IN_DB",4,5,0
"high-noon-hard-seltzer-el-pres-variety-pack-12-pack-12oz-cans","High Noon Hard Seltzer El Pres Variety Pack • 12 Pack 12oz Can","ARCHIVED",3,5,0
"shiner-texhex-desert-mirage-12-pack","Shiner TexHex Hazy IPA • 12 Pack 12oz Can","ARCHIVED",5,5,0
"cutwater-vodka-mule-4-pack-12oz-can","Cutwater Vodka Mule • 4 Pack 12oz Can","ARCHIVED",4,5,0
"disposable-eco-friendly-cocktail-cups-10-pack-12oz","Disposable, Eco-Friendly Cocktail Cups • 10 Pack 12oz","ARCHIVED",4,5,0
"waterboy-hydration-weekend-recovery-blue-raspberry-12-pk","WaterBoy Hydration + Weekend Recovery Blue Raspberry • 12 Pack","ARCHIVED",2,5,0
"disco-party-pack-1","Disco Party Pack","ARCHIVED",2,4,0
"austin-cktls-spk-ruby-red-25can4p-250m","Austin Cocktails Sparkling Ruby Red • 4 Pack 250ml Can","ARCHIVED",2,4,0
"coors-banquet","Coors Banquet • 12 Pack 12oz Can","ARCHIVED",4,4,0
"camarena-tequila-reposado-750ml","Camarena Tequila Reposado  • 750ml Bottle","ARCHIVED",4,4,0
"espolon-tequila-blanco-375ml","Espolon Tequila Blanco • 375ml Bottle","ARCHIVED",3,4,0
"melaani-white-wine","Melaani White Wine • 750ml Bottle","ARCHIVED",3,4,0
"hennessy-cognac-750ml","Hennessy Cognac • 750ml","ARCHIVED",3,4,0
"hopadillo-ipa-6pack","Hopadillo IPA • 6 Pack 12oz Can","ARCHIVED",2,4,0
"squad-mesh-baseball-cap-black","""Squad"" Trucker Hat","ARCHIVED",2,4,0
"texas-dulce-coffee-liqueur-750ml","Texas Dulce Coffee Liqueur • 750ml Bottle","ARCHIVED",3,4,0
"vizzy-variety-pack-2","Vizzy Berry Variety Pack • 12 Pack 12oz Can","ARCHIVED",3,4,0
"1-gallon-plastic-drink-dispenser","Plastic Drink Dispenser • 1.2 Gallon","ARCHIVED",3,3,0
"artificial-burnt-orange-flowers-20-pack","Artificial Burnt Orange Flowers • 20 Pack","ARCHIVED",3,3,0
"fringed-rhinestone-cowboy-hat","Fringed Rhinestone Cowboy Hat","ARCHIVED",3,3,0
"cranberry-ginger-fizz-mocktail-kit","Cranberry Ginger Fizz Mocktail Kit","ARCHIVED",1,3,0
"colorful-rave-fan","Colorful Rave Fan","ARCHIVED",3,3,0
"metallic-tinsel-foil-fringe-curtains","Metallic Tinsel Foil Fringe Curtains","ARCHIVED",3,3,0
"lime","Fresh Limes • 2lb Bag","ARCHIVED",2,3,0
"pineapple-juice-single-6oz-can","Pineapple Juice • Single 6oz Can","ARCHIVED",2,3,0
"king-maui-sauvignon-blanc-750ml","King Maui Sauvignon Blanc • 750ml Bottle","ARCHIVED",2,3,0
"led-tabletop-water-fountain","LED Tabletop Water Fountain","ARCHIVED",3,3,0
"item-f","Rainbow Disco Ball Cups","ARCHIVED",3,3,0
"chocolate-covered-martini","Chocolate Strawberry Martini Cocktail Kit","ARCHIVED",2,3,0
"sun-cruiser-iced-tea-8-pack-12oz-can","(NOT IN DB)","NOT_IN_DB",2,3,0
"wine-bottle-holder","Wine Bottle Holder","ARCHIVED",2,3,0
"wooden-ring-toss-game","Wooden Ring Toss Game - RENTAL","ARCHIVED",2,3,0
"splash-hoop-pool-basketball-game","Splash Hoop Pool Basketball Game","ARCHIVED",3,3,0
"angostura-orange-bitters-100ml-copy","(NOT IN DB)","NOT_IN_DB",2,3,0
"inflatable-bowling-set","Inflatable Bowling Set - RENTAL","ARCHIVED",2,3,0
"coke-zero-2l","Coke Zero • 2L Bottle","ARCHIVED",2,3,0
"carpano-rosso-vermouth-375ml","Carpano Rosso Vermouth • 375ml Bottle","ARCHIVED",2,2,0
"doritos-nacho-cheese-tortilla-chips-party-size","Doritos Nacho Cheese Tortilla Chips Party Size • 14.5oz","ARCHIVED",2,2,0
